CustomerID,recency,frequency,monetary,log_recency,log_frequency,log_monetary,cluster,cluster_label,rfm_score,segment
13784,10,11,2462.79,2.3978952727983707,2.4849066497880004,7.809456093748633,0,Champions,5.0,Champions
15750,3,8,2463.05,1.3862943611198906,2.1972245773362196,7.809561616655318,0,Champions,5.0,Champions
14766,9,6,2473.37,2.302585092994046,1.9459101490553132,7.813741097146052,0,Champions,5.0,Champions
17188,12,7,2474.23,2.5649493574615367,2.0794415416798357,7.814088599978061,0,Champions,5.0,Champions
17682,11,6,2474.33,2.4849066497880004,1.9459101490553132,7.814128999448025,0,Champions,5.0,Champions
15271,8,15,2493.34,2.1972245773362196,2.772588722239781,7.82177944413352,0,Champions,5.0,Champions
15932,5,8,2495.87,1.791759469228055,2.1972245773362196,7.822793226449505,0,Champions,5.0,Champions
17449,3,7,2519.21,1.3862943611198906,2.0794415416798357,7.832097510366773,0,Champions,5.0,Champions
13394,2,8,2520.02,1.0986122886681098,2.1972245773362196,7.832418860516229,0,Champions,5.0,Champions
14701,11,9,2526.09,2.4849066497880004,2.302585092994046,7.834823722108157,0,Champions,5.0,Champions
14659,9,9,2529.93,2.302585092994046,2.302585092994046,7.836342103110113,0,Champions,5.0,Champions
15572,5,7,2533.42,1.791759469228055,2.0794415416798357,7.837720093003111,0,Champions,5.0,Champions
15033,5,10,2557.18,1.791759469228055,2.3978952727983707,7.847051347137703,0,Champions,5.0,Champions
18245,8,7,2567.06,2.1972245773362196,2.0794415416798357,7.850906029022887,0,Champions,5.0,Champions
18077,9,11,2584.41,2.302585092994046,2.4849066497880004,7.85763938171581,0,Champions,5.0,Champions
14243,9,10,2588.77,2.302585092994046,2.3978952727983707,7.859324347661553,0,Champions,5.0,Champions
16241,10,13,2590.31,2.3978952727983707,2.6390573296152584,7.859918818329966,0,Champions,5.0,Champions
14408,11,7,2599.03,2.4849066497880004,2.0794415416798357,7.8632782624045445,0,Champions,5.0,Champions
14397,3,19,2612.96,1.3862943611198906,2.995732273553991,7.868621591848266,0,Champions,5.0,Champions
13021,5,9,2616.38,1.791759469228055,2.302585092994046,7.869929096421559,0,Champions,5.0,Champions
14262,9,8,2618.23,2.302585092994046,2.1972245773362196,7.870635660430322,0,Champions,5.0,Champions
18210,2,6,2621.38,1.0986122886681098,1.9459101490553132,7.871837581358896,0,Champions,5.0,Champions
