CustomerID,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,rfm_score,segment
13784,10,11,2462.79,5,5,5,555,5.0,Champions
15750,3,8,2463.05,5,5,5,555,5.0,Champions
14766,9,6,2473.37,5,5,5,555,5.0,Champions
17188,12,7,2474.23,5,5,5,555,5.0,Champions
17682,11,6,2474.33,5,5,5,555,5.0,Champions
15271,8,15,2493.34,5,5,5,555,5.0,Champions
15932,5,8,2495.87,5,5,5,555,5.0,Champions
17449,3,7,2519.21,5,5,5,555,5.0,Champions
13394,2,8,2520.02,5,5,5,555,5.0,Champions
14701,11,9,2526.09,5,5,5,555,5.0,Champions
14659,9,9,2529.93,5,5,5,555,5.0,Champions
15572,5,7,2533.42,5,5,5,555,5.0,Champions
15033,5,10,2557.18,5,5,5,555,5.0,Champions
18245,8,7,2567.06,5,5,5,555,5.0,Champions
18077,9,11,2584.41,5,5,5,555,5.0,Champions
14243,9,10,2588.77,5,5,5,555,5.0,Champions
16241,10,13,2590.31,5,5,5,555,5.0,Champions
14408,11,7,2599.03,5,5,5,555,5.0,Champions
14397,3,19,2612.96,5,5,5,555,5.0,Champions
13021,5,9,2616.38,5,5,5,555,5.0,Champions
14262,9,8,2618.23,5,5,5,555,5.0,Champions
18210,2,6,2621.38,5,5,5,555,5.0,Champions
17346,4,15,2622.88,5,5,5,555,5.0,Champions
17402,5,13,2633.85,5,5,5,555,5.0,Champions
17655,11,7,2638.94,5,5,5,555,5.0,Champions
14713,10,11,2662.2,5,5,5,555,5.0,Champions
18097,8,6,2662.4,5,5,5,555,5.0,Champions
17386,8,6,2686.42,5,5,5,555,5.0,Champions
14732,9,8,2702.49,5,5,5,555,5.0,Champions
15796,2,8,2708.61,5,5,5,555,5.0,Champions
16168,11,27,3787.6,5,5,5,555,5.0,Champions
16145,9,11,3799.49,5,5,5,555,5.0,Champions
13435,6,7,3809.89,5,5,5,555,5.0,Champions
15867,6,15,3810.14,5,5,5,555,5.0,Champions
17091,3,9,3827.76,5,5,5,555,5.0,Champions
13266,12,12,3834.26,5,5,5,555,5.0,Champions
14291,2,11,3883.25,5,5,5,555,5.0,Champions
13999,11,12,3901.81,5,5,5,555,5.0,Champions
14739,5,7,3902.28,5,5,5,555,5.0,Champions
17651,12,10,3945.0,5,5,5,555,5.0,Champions
17769,13,10,3957.43,5,5,5,555,5.0,Champions
13183,8,9,3957.78,5,5,5,555,5.0,Champions
17611,8,15,3961.12,5,5,5,555,5.0,Champions
14299,9,9,3965.62,5,5,5,555,5.0,Champions
14547,4,8,3974.75,5,5,5,555,5.0,Champions
17001,1,11,3989.57,5,5,5,555,5.0,Champions
12841,5,25,3991.58,5,5,5,555,5.0,Champions
12957,10,8,4017.54,5,5,5,555,5.0,Champions
15514,13,11,4023.72,5,5,5,555,5.0,Champions
16549,11,10,4034.9,5,5,5,555,5.0,Champions
14401,5,13,4051.48,5,5,5,555,5.0,Champions
14092,8,14,4076.91,5,5,5,555,5.0,Champions
18041,12,21,4097.37,5,5,5,555,5.0,Champions
16401,2,12,4098.32,5,5,5,555,5.0,Champions
16592,5,16,4113.68,5,5,5,555,5.0,Champions
17920,5,17,4119.5,5,5,5,555,5.0,Champions
15570,8,12,4148.82,5,5,5,555,5.0,Champions
14735,4,32,6065.69,5,5,5,555,5.0,Champions
13418,12,18,6127.43,5,5,5,555,5.0,Champions
14060,5,19,6140.42,5,5,5,555,5.0,Champions
17315,2,38,6281.23,5,5,5,555,5.0,Champions
13709,4,13,6307.65,5,5,5,555,5.0,Champions
13668,3,21,6309.83,5,5,5,555,5.0,Champions
13102,2,24,6424.09,5,5,5,555,5.0,Champions
13225,4,7,6463.84,5,5,5,555,5.0,Champions
15694,1,14,6479.4,5,5,5,555,5.0,Champions
18223,5,14,6484.54,5,5,5,555,5.0,Champions
14194,5,21,11349.52,5,5,5,555,5.0,Champions
14606,2,93,12076.15,5,5,5,555,5.0,Champions
13113,1,24,12245.96,5,5,5,555,5.0,Champions
15640,5,15,12416.11,5,5,5,555,5.0,Champions
13078,4,26,12627.94,5,5,5,555,5.0,Champions
15769,8,26,56252.72,5,5,5,555,5.0,Champions
17949,2,45,58510.48,5,5,5,555,5.0,Champions
